政令,明治五年太政官布告第三百三十七号,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,105DF0000000337,改暦の布告
府省令,明治三十五年逓信省令第十一号,明治三十五年逓信省令第十一号（船舶積量互認ノ件ニ関シ帝国政府ト瑞典及諾威国両政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとすうぇーでんおよびのるうぇーこくりょうせいふとのあいだにとりきめをなしたるじょうき,135M10001000011
法律,明治三十七年法律第十七号,明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）,きめいのこくさいをもくてきとするしちけんのせっていにかんするほうりつ,137AC0000000017
法律,明治三十八年法律第五十二号,担保付社債信託法,たんぽつきしゃさいしんたくほう,138AC0000000052,担信法
法律,明治三十八年法律第五十三号,鉄道抵当法,てつどうていとうほう,138AC0000000053
法律,明治三十八年法律第五十四号,工場抵当法,こうじょうていとうほう,138AC0000000054
法律,明治三十八年法律第五十五号,鉱業抵当法,こうぎょうていとうほう,138AC0000000055
法律,明治三十八年法律第六十三号,外国裁判所ノ嘱託ニ因ル共助法,がいこくさいばんしょのしょくたくによるきょうじょほう,138AC0000000063,外嘱法
法律,明治三十八年法律第六十六号,明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）,がいこくにおいてりゅうつうするかへいしへいぎんこうけんしょうけんぎぞうへんぞうおよびもぞうにかんするほうりつ,138AC1000000066
府省令,明治三十八年内務省令第二号,明治三十八年内務省令第二号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,めいじさんじゅうはちねんほうりつだいろくじゅうろくごうのかんぼつにかんするつづき,138M10000008002
府省令,明治三十八年外務省令第一号,明治三十八年外務省令第一号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,めいじさんじゅうはちねんほうりつだいろくじゅうろくごうのかんぼつにかんするてつづき,138M10000020001
府省令,明治三十八年大蔵省令第五十一号,明治三十八年大蔵省令第五十一号（印紙貼用方ノ件）,いんしちょうようかたのけん,138M10000040051
府省令,明治三十八年逓信省令第三十七号,鉄道抵当法施行規則,てつどうていとうほうせこうきそく,138M10001000037
法律,明治三十九年法律第三十四号,明治三十九年法律第三十四号（国債ニ関スル法律）,こくさいにかんするほうりつ,139AC0000000034
法律,明治三十九年法律第五十一号,紙幣類似証券取締法,しへいるいじしょうけんとりしまりほう,139AC0000000051
勅令,明治三十九年勅令第百三十七号,明治三十九年勅令第百三十七号（国債償還ノ為抽籤執行ノ場合ニ於ケル立会者ニ関スル件）,こくさいしょうかんのためちゅうせんしっこうのばあいにおけるたちあいしゃにかんするけん,139IO0000000137
府省令,明治三十九年農商務省令第二十七号,国有林野台帳規程,こくゆうりんやだいちょうきてい,139M10000200027
法律,明治四十年法律第四十五号,刑法,けいほう,140AC0000000045
法律,明治四十一年法律第二十九号,刑法施行法　抄,けいほうせこうほう　しょう,141AC0000000029,旧刑法施行法　抄
法律,明治四十一年法律第五十号,水害予防組合法,すいがいよぼうくみあいほう,141AC0000000050
法律,明治四十一年法律第五十三号,公証人法,こうしょうにんほう,141AC0000000053
法律,明治四十一年法律第五十七号,北海道国有未開地処分法,ほっかいどうこくゆうみかいちしょぶんほう,141AC0000000057
勅令,明治四十一年勅令第百九十一号,水害予防組合職員賠償責任及身元保証令,すいがいよぼうくみあいしょくいんばいしょうせきにんおよびみもとほしょうれい,141IO0000000191
勅令,明治四十一年勅令第二百十七号,明治四十一年勅令第二百十七号（刑法施行前ニ公布シタル命令ニ関スル件）,けいほうせこうまえにこうふしたるめいれいにかんするけん,141IO0000000217
勅令,明治四十一年勅令第二百八十七号,明治四十一年勅令第二百八十七号（政府ニ納ムヘキ保証金其ノ他ノ担保ニ充用スル国債ノ価格ニ関スル件）,せいふにおさむべきほしょうきんそのたのたんぽにじゅうようするこくさいのかかくにかんするけん,141IO0000000287
勅令,明治四十一年勅令第二百九十一号,勲章褫奪令,くんしょうちだつれい,141IO0000000291
府省令,明治四十一年閣令第二号,勲章褫奪令施行細則,くんしょうちだつれいせこうさいそく,141M10000001002
府省令,明治四十一年内務省令第十三号,明治四十一年内務省令第十三号（水害予防組合法ニ依ル予算調製ノ式及費目流用其ノ他財務ニ関スル件）,すいがいよぼうくみあいほうによるよさんちょうせいのしきおよびひもくりゅうようそのたざいむにかんするけん,141M10000008013
府省令,明治四十一年内務省令第十四号,水害予防組合法第八十二条ニ依ル水害予防組合吏員服務紀律,すいがいよぼうくみあいほうだいはちじゅうにじょうによるすいがいよぼうくみあいりいんふくむきりつ,141M10000008014
法律,明治四十二年法律第八号,明治四十二年法律第八号（登録国債ノ担保充用ニ関スル法律）,とうろくこくさいのたんぽじゅうようにかんするほうりつ,142AC0000000008
法律,明治四十二年法律第九号,明治四十二年法律第九号（政府ニ対スル保証金其ノ他ノ担保ニ供シタル国債ノ買入銷却ニ関スル法律）,せいふにたいするほしょうきんそのたのたんぽにきょうしたるこくさいのかいいれさうきゃくにかんするほうりつ,142AC0000000009
法律,明治四十二年法律第二十二号,明治四十二年法律第二十二号（立木ニ関スル法律）,りゅうぼくにかんするほうりつ,142AC0000000022
法律,明治四十二年法律第二十八号,明治四十二年法律第二十八号（軌道ノ抵当ニ関スル法律）,きどうのていとうにかんするほうりつ,142AC0000000028
法律,明治四十二年法律第三十九号,印紙犯罪処罰法　抄,いんしはんざいしょばつほう　しょう,142AC0000000039
勅令,明治四十二年勅令第百二十号,明治四十二年勅令第百二十号（刑法施行後施行ノ命令ニ掲ケタル刑法ノ刑名ニ関スル件）,けいほうせこうごせこうのめいれいにかかげたるけいほうのけいめいにかんするけん,142IO0000000120
府省令,明治四十二年閣令第六号,軌道抵当取扱規則,きどうていとうとりあつかいきそく,142M10000001006
府省令,明治四十二年内務省令第十三号,明治四十二年内務省令第十三号（印紙犯罪処罰法第五条ノ官没手続）,いんしはんざいしょばつほうだいごじょうのかんぼつてつづき,142M10000008013
府省令,明治四十二年大蔵省令第二十八号,明治四十二年大蔵省令第二十八号（印紙犯罪処罰法第五条ノ官没手続）,いんしはんざいしょばつほうだいごじょうのかんぼつてつづき,142M10000040028
法律,明治四十三年法律第五十四号,関税定率法,かんぜいていりつほう,143AC0000000054
法律,明治四十三年法律第五十六号,明治四十三年法律第五十六号（立木ノ先取特権ニ関スル法律）,りゅうぼくのせんしゅとっけんにかんするほうりつ,143AC1000000056
府省令,明治四十三年大蔵省令第二十四号,第三回四分利付英貨公債発行規程,だいさんかいよんぶんりつきえいかこうさいはっこうきてい,143M10000040024
府省令,明治四十三年大蔵省令第二十六号,寄託又ハ供託ニ係ル国債ノ償還元金代リ新公債交付ニ関スル特別取扱規程,きたくまたはきょうたくにかかるこくさいのしょうかんがんきんがわりしんこうさいこうふにかんするとくべつとりあつかいきてい,143M10000040026
法律,明治四十五年法律第二十一号,臘虎膃肭獣猟獲取締法,らっこおっとせいりょうかくとりしまりほう,145AC0000000021
府省令,明治四十五年逓信省令第三十三号,明治四十五年逓信省令第三十三号（船舶積量互認ノ件ニ関シ帝国政府ト和蘭国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとおらんだこくせいふとのあいだにとりきめをなしたるじょうき,145M10001000033
府省令,大正元年閣令第一号,大正元年閣令第一号（大喪中ノ国旗掲揚方）,たいそうなかのこっきけいようほう,201M10000001001
法律,大正二年法律第十六号,運河法,うんがほう,202AC1000000016
府省令,大正二年内務省令第十七号,運河法施行規則,うんがほうせこうきそく,202M10000008017
法律,大正三年法律第三十七号,大正三年法律第三十七号（公共団体ノ管理スル公共用土地物件ノ使用ニ関スル法律）,こうきょうだんたいのかんりするこうきょうようとちぶっけんのしようにかんするほうりつ,203AC1000000037
府省令,大正三年逓信省令第十一号,発電水力調査図表類交付規則,はつでんすいりょくちょうさずひょうるいこうふきそく,203M10001000011
法律,大正四年法律第十三号,大正四年法律第十三号（日本学士院学術研究奨励金委任経理ニ関スル法律）,にほんがくしいんがくじゅつけんきゅうしょうれいきんいにんけいりにかんするほうりつ,204AC0000000013
法律,大正四年法律第十八号,大正四年法律第十八号（法人ノ役員処罰ニ関スル法律）,ほうじんのやくいんしょばつにかんするほうりつ,204AC0000000018
勅令,大正四年勅令第百五十四号,大正四年勅令第百五十四号（大礼記念章制定ノ件）,たいれいきねんしょうせいていのけん,204IO0000000154
法律,大正五年法律第十号,大正五年法律第十号（証券ヲ以テスル歳入納付ニ関スル法律）,しょうけんをもってするさいにゅうのうふにかんするほうりつ,205AC0000000010
法律,大正五年法律第二十号,海底電信線保護万国連合条約罰則,かいていでんしんせんほごばんこくれんごうじょうやくばっそく,205AC0000000020
勅令,大正五年勅令第二百五十六号,大正五年勅令第二百五十六号（歳入納付ニ使用スル証券ニ関スル件）,さいにゅうのうふにしようするしょうけんにかんするけん,205IO0000000256
府省令,大正五年司法省令第三十五号,大正五年司法省令第三十五号（司法省主管歳入証券納付ニ関スル件）,しほうしょうしゅかんさいにゅうしょうけんのうふにかんするけん,205M10000010035
府省令,大正五年大蔵省令第三十号,大正五年大蔵省令第三十号（歳入納付ニ使用スル証券ニ関スル件ニ依ル証券ノ納付ニ関スル制限ノ件）,さいにゅうのうふにしようするしょうけんにかんするけんによるしょうけんののうふにかんするせいげんのけん,205M10000040030
府省令,大正五年大蔵省令第三十一号,大正五年大蔵省令第三十一号（財務省主管歳入証券納付ニ関スル件）,ざいむしょうしゅかんさいにゅうしょうけんのうふにかんするけん,205M10000040031
府省令,大正五年大蔵省令第三十二号,大正五年大蔵省令第三十二号（証券ヲ以テスル歳入納付ニ関スル法律施行細則）,しょうけんをもってするさいにゅうのうふにかんするほうりつせこうさいそく,205M10000040032
府省令,大正五年農商務省令第三十号,大正五年農商務省令第三十号（農商省主管歳入証券納付ニ関スル件）,たいしょうごねんのうしょうむしょうれいだいさんじゅうごう（のうしょうしょうしゅかんさいにゅうしょうけんのうふにかんするけん）,205M10000200030
府省令,大正六年外務省令第二号,大正六年外務省令第二号（外務省主管歳入証券納付ニ関スル件）,がいむしょうしゅかんさいにゅうしょうけんのうふにかんするけん,206M10000020002
法律,大正十年法律第五十七号,公有水面埋立法,こうゆうすいめんうめたてほう,210AC0000000057,埋立法
法律,大正十年法律第七十六号,軌道法,きどうほう,210AC0000000076
法律,大正十年法律第百二号,大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）,ていねんによるたいしょくはんじけんさつかんのおんきゅうにかんするほうりつ,210AC0000000102,定年に因る退職判事検察官の恩給に関する法律
勅令,大正十年勅令第二百七十二号,大正十年勅令第二百七十二号（第一回国勢調査記念章制定ノ件）,だいいっかいこくせいちょうさきねんしょうせいていのけん,210IO0000000272
法律,大正十一年法律第六十二号,公益信託ニ関スル法律,こうえきしんたくにかんするほうりつ,211AC0000000062
法律,大正十一年法律第七十号,健康保険法,けんこうほけんほう,211AC0000000070,健保法
法律,大正十一年法律第二十号,二十歳未満ノ者ノ飲酒ノ禁止ニ関スル法律,みせいねんしゃいんしゅきんしほう,211AC1000000020
勅令,大正十一年勅令第百九十四号,公有水面埋立法施行令,こうゆうすいめんうめたてほうせこうれい,211IO0000000194,埋立法施行令
府省令,大正十一年司法省令第四十五号,大正十一年司法省令第四十五号（信託表示簿及日附アル印章調製方）,しんたくひょうじぼおよびひづけあるいんしょうちょうせいかた,211M10000010045
府省令,大正十一年大蔵省令第五号,保管金取扱規程,ほかんきんとりあつかいきてい,211M10000040005
府省令,大正十一年大蔵省令第七号,政府所有有価証券取扱規程,せいふしょゆうゆうかしょうけんとりあつかいきてい,211M10000040007
府省令,大正十一年大蔵省令第八号,政府保管有価証券取扱規程,せいふほかんゆうかしょうけんとりあつかいきてい,211M10000040008
府省令,大正十一年大蔵省令第九号,供託有価証券取扱規程,きょうたくゆうかしょうけんとりあつかいきてい,211M10000040009
府省令,大正十一年大蔵省令第十一号,日本銀行政府有価証券取扱規程,にほんぎんこうせいふゆうかしょうけんとりあつかいきてい,211M10000040011
府省令,大正十一年大蔵省令第二十号,国の会計帳簿及び書類の様式等に関する省令,くにのかいけいちょうぼおよびしょるいのようしきとうにかんするしょうれい,211M10000040020
府省令,大正十一年大蔵省令第三十一号,国債規則,こくさいきそく,211M10000040031
府省令,大正十一年大蔵省令第三十二号,日本銀行国債事務取扱規程,にほんぎんこうこくさいじむとりあつかいきてい,211M10000040032
府省令,大正十一年大蔵省令第四十二号,寄託又ハ供託セル国債ノ国債応募払込現金代用ニ関スル特別取扱規程,きたくまたはきょうたくせるこくさいのこくさいおうぼはらいこみげんきんだいようにかんするとくべつとりあつかいきてい,211M10000040042
府省令,大正十一年大蔵省令第四十三号,大正十一年大蔵省令第四十三号（会計法規ニ基ク出納計算ノ数字及記載事項ノ訂正ニ関スル件）,かいけいほうきにもとづくすいとうけいさんのすうじおよびきさいじこうのていせいにかんするけん,211M10000040043
府省令,大正十一年大蔵省令第五十八号,寄託又ハ供託セル国債証券附属利札尽了ノモノノ特別取扱規程,きたくまたはきょうたくせるこくさいしょうけんふぞくりふだじんりょうのもののとくべつとりあつかいきてい,211M10000040058
府省令,大正十一年逓信省令第四十五号,大正十一年逓信省令第四十五号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト独逸国政府トノ間ニ取極ヲ為シタル条規）,せんぱくまんさいきっすいせんしょうしょごにんのけんにかんしていこくせいふとどいつこくせいふとのあいだにとりきめをなしたるじょうき,211M10001000045
府省令,大正十一年逓信省令第五十六号,大正十一年逓信省令第五十六号（船舶積量互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとでんまーくこくせいふとのあいだにとりきめをなしたるじょうき,211M10001000056
法律,大正十二年法律第四十八号,恩給法,おんきゅうほう,212AC0000000048
法律,大正十二年法律第五十号,陪審法,ばいしんほう,212AC0000000050
勅令,大正十二年勅令第二百九十九号,大正十二年勅令第二百九十九号（政府ニ於テ物品ノ販売ヲ問屋業者ニ委託スルコトヲ得ル場合ニ関スル件）,せいふにおいてぶっぴんのはんばいをとんやぎょうしゃにいたくすることをえるばあいにかんするけん,212IO0000000299
勅令,大正十二年勅令第三百六十九号,恩給給与規則,おんきゅうきゅうよきそく,212IO0000000369
勅令,大正十二年勅令第四百三十九号,恩給金額分担及国庫納金収入等取扱規則,おんきゅうきんがくぶんたんきゅうこっこのうきんしゅうにゅうとうとりあつかいきそく,212IO0000000439
勅令,大正十二年勅令第五百二十八号,大正十二年勅令第五百二十八号（司法警察官吏及司法警察官吏ノ職務ヲ行フヘキ者ノ指定等ニ関スル件）抄,しほうけいさつかんりおよびしほうけいさつかんりのしょくむをおこなうへきもののしていとうにかんするけんしょう,212IO0000000528
府省令,大正十二年内務省令第四十五号,専用軌道規則,せんようきどうきそく,212M10000008045
府省令,大正十二年大蔵省令第三十号,恩給金額分担及国庫納金収入等事務取扱細則,おんきゅうきんがくぶんたんきゅうこっこのうきんしゅうにゅうとうじむとりあつかいさいそく,212M10000040030
府省令,大正十二年鉄道省令第四号,軌道運輸規程,きどううんゆきてい,212M10000800004
府省令,大正十二年鉄道省令第六号,軌道係員規程,きどうかかりいんきてい,212M10000800006
府省令,大正十二年内務省・鉄道省令,軌道法施行規則,きどうほうせこうきそく,212M10000808000
府省令,大正十二年内務省・鉄道省令,軌道建設規程,きどうけんせつきてい,212M10000808001
